x,y
I love my classmate. Should I express my feelings to her?,Colleagues
My younger brother and sisters have decided to take up karate.,Sport
My father is suffering a financial loss.,Family
I came to know that my friend was working out to build his body.,Friendship
I want to pursue engineering further more.,Technology
He arranged the laptop on the desk before settling down himself!,Technology
I had to work a lot at my job today.,CareerAndEducation
Food Plating does look attractive.,Food
I suffered a lot of disappointment in School.,CareerAndEducation
I focused a lot on my career.,CareerAndEducation
I don't have that person in my life with whom I can share anything.,Partner
My work is based on A.I. concepts.,CareerAndEducation
I have decided to give up my drinks after I read an article about the effects of drinking.,Food
My boyfriend broke my trust.,Partner
What do you think of a hobby as a career?,CareerAndEducation
Emily Bronte is my favourite writer of classic English literature!,FilmAndTV
I think Beyoncé could have found someone better than Jay--Z.,Music
I think my colleagues are jealous of my success!,Colleagues
I love rock songs.,Music
It's really fun to hang out with my uncle.,Family
This job is really a trump-card for me,CareerAndEducation
I was thinking about my time at school.,CareerAndEducation
They hated computers before knowing it's use.,Technology
My cousins were very jealous of my abilities.,Family
The government is considering bringing in police reforms.,Politics
Chandler Bing is one of the highest paid actor in Hollywood.,FilmAndTV
I met some of my Facebook friend for the first time today!,Technology
My father is leaving my mother.,Family
How do poor people live?,Money
My maths teacher once made fun of me in class.,CareerAndEducation
My friends did not come for my show.,Music
My subordinates were not working hard.,Colleagues
My friends were caught in a drug case.,Friendship
Politicians are fake I think.,Politics
My friends arrived at my house with any prior intimation.,Friendship
The party which I voted for won the elections.,Politics
It's tough to go and pay for bills.,Money
I have been meaning to try to learn the guitar but it's not possible for me.,Music
I met my friends after a long time.,Friendship
I have a younger brother,Family
Humans can be protected due to replacements by bots and machines.,Technology
They selected Nina instead of Mary.,Friendship
I have decided to pursue golf on weekends.,Sport
I like to buy Levi's jeans.,Money
My teacher has suggested to go with the first choice that I have made.,CareerAndEducation
Best Food and drinks are served in my hotel.,Food
There was a big fight between my friends at work.,Friendship
"Since I developed an interest in guitar, I've been admiring a lot of guitarists!",Music
My boss didn’t like the way I made the presentation.,Colleagues
This was the worst concert ever!,Music
The furniture was bought at an auction.,Money
Man has always overpowered women in politics.,Politics
"Best way to help a senior citizen is to rake leaves, shovel snow, or wash their windows.",Technology
Love to enjoy making delicious food for my family.,Food
My friends were scared of the picture.,Friendship
My partner's birthday was ruined.,Partner
My colleagues are my classmates only.,Colleagues
I have red patches on my arms.,Health
I have decided to follow a healthy lifestyle.,Health
My friend's brain injury never stop bothering me.,Friendship
It was made mandatory for every employee to register their government cards!,Politics
I wasn't expecting such grades in my assignment.,CareerAndEducation
The characters are really funny in friends.,FilmAndTV
I have zero interest in sports!,Sport
My colleague met with an accident last week.,Colleagues
I like to hear old songs.,Music
I like my grandparents a lot.,Family
"I asked my sister, ""Where did Harry get the word - file? I never uttered it!""",Family
I wasn't well last night.,Health
The bond between me and my partner is no longer good!,Partner
I promised him swimming lessons.,Sport
I like Adele very much indeed!,Music
It was difficult to recover from cancer.,Health
Bryan Adams concert is next week!,Music
How do you like your eggs?,Food
I had a lot of fun with my parents.,Family
Me and my friend both wait for each others letters every month.,Friendship
Why would anyone choose a job over basketball?,Sport
Shall I listen to Katy Perry?,Music
I want my sister to go back to school.,CareerAndEducation
My brother slapped his girlfriend during a fight.,Partner
My sister and her husband are going through some serious crisis situation.,Partner
She bought an expensive set of jewellery!,Money
I know that Apple has been deliberately slowing down it's old phones!,Food
My brother doesn't know the Newton's three laws.,Politics
Technology - boon or bane?,Technology
I want to become a millionaire!,Money
My friend is great at storytelling. We decided to use that for our project!,Friendship
I aim to be an expert in the field of cuisines.,Food
The speech our boss gave today was motivational.,Colleagues
What makes a great TV series?,FilmAndTV
History is way out of my league.,Sport
I gave the beggar some money,Money
I went and played chess with my friend.,Sport
My parents followed a long method and I don't want to do that.,Family
I recently watched a show at London Pavilion theatre.,FilmAndTV
The British people defeated Napoleon in 1815.,Politics
His partners are facing problems in understanding the stock rates.,Partner
"At the store today, my friend chose a red trouser for himself!",Friendship
My partner loves my sense of humour.,Partner
Politicians must be more descriptive about the work they would do.,Politics
I love drinking apple juice.,Food
My partner's birthday is coming up!,Partner
I use my laptop a lot.,Technology
I keep myself updated about all the changes in technology.,Technology
I have started sharing my business plan with people.,CareerAndEducation
I miss the macaroni that my mother used to cook for me as a child!,Food
The aunt on hearing about the sister’s death did not show much pity for the children!,Family
Leadership is the best quality of a good political leader.,Politics
I just had a nasty argument with my boss.,Colleagues
This program is treating primary health-care problems with doctors.,Health
Do you think the world would survive after an all-out nuclear war?,Politics
My friends behaved like animals at the party.,Friendship
My boss is not paying me regularly.,Colleagues
Is this movie based on a true story?,FilmAndTV
My colleague hasn't paid his rents.,Colleagues
"I can't eat the whole ice-cream, help me in finishing it.",Food
I have many movies to watch.,FilmAndTV
I listen to music all the time. I want to be a singer one day.,Music
I want to go to a movie alone.,FilmAndTV
My career path is easier than hers.,CareerAndEducation
Nobody deserves to die of starvation.,Politics
My husband is such a calm parent. I don't understand him.,Partner
I feel pretty nostalgic when I saw her theatre troupe.,FilmAndTV
Playing volleyball at my Idea of fun in summer.,Sport
Cooking Arabian cuisine at home would be fun.,Food
"I told him, that I was jealous of the his close relationship with his best friend.",Friendship
I like watching Hollywood pictures for entertainment.,FilmAndTV
Good teachers have an important role to play in education.,CareerAndEducation
I play Mozart's Symphony on my music player during my spare-time.,Music
I work in the film industry.,FilmAndTV
It is difficult to manage teenagers.,Family
"Where I work as caregiver, the couple have a huge collection of old English classics that I read to them.",Music
Being physically inactive shows on a person.,Health
Do bats help people?,Sport
I want help to stop drinking alcohol for the sake of my health.,Food
I distributed food to the deprived children today.,Food
I might be coming down with something.,Health
I've been going to the gym a lot lately.,Sport
I will always keep that particular Father's Day in my heart.,Family
They think getting drunk is fun.,Food
These supplements will surely help me get jacked up!,Health
How can I make my meals healthy?,Food
I find it really hard to find a good health routine for myself!,Health
"I resolved the misunderstandings related to work, with my colleague.",Colleagues
Had there been no partnerships with other firms we couldn't have been cost effective!,Partner
Politics is just like a game of chess with a lot of variables.,Politics
I work at the same level of my partner.,Partner
Fishing boundaries are a region for political instability!,Politics
My laptop screen is broken.,Technology
Why should I not be possessive about my girlfriend?,Partner
I feel that wars are a waste of money and waste of time.,Politics
I like playing cricket and volleyball for entertainment.,Sport
Dolphins are really friendly. I like that about them. They are my favourite!,Friendship
I think doing fitness workout in the morning can be a good starter.,Sport
I want achieve all that my friends said I never could.,Friendship
My teacher asked me to write about politics which almost everybody dislikes.,Politics
The movie “Wonder” was about a boy with an unusual looking face because of surgeries,FilmAndTV
My friend is very judgemental.,Friendship
I had a major misunderstanding with my friend today.,Friendship
I visited a Counsellor the other day and I was able to resolve quite a number of psychological issues.,Colleagues
They were happy to finally get rid of me at the office.,CareerAndEducation
I follow a lot of celebrities in Instagram.,Technology
I aim to become an expert in political philosophy.,Politics
I want to educate poor people.,Money
The little child eating the doughnuts glared at me!,Food
My friends have always been my favourite.,Friendship
I walked 2 miles yesterday.,Health
Why is your friend taking so long to boil water?,Food
I listen to operas to collect myself when under stress.,Music
My dog is sick and I need to take him to the vet,Health
I want to improve myself for my partnership.,Partner
My colleague does not seem to like me.,Colleagues
A lot of politics and discrimination is going on in my college.,Politics
My girlfriends always seem to be more talented than me.,Friendship
My partner really liked what I got him for his birthday!,Partner
My current income is insufficient and I wish my income was more!,Money
I was giving a presentation on ethics to my colleagues.,Colleagues
I have been suffering from a neck pain since too long.,Health
Me and my partner play a lot of Scrabble.,Partner
I like wearing gloves all day.,Health
"Have you heard the proverb, ""A friend in need is a friend indeed""?",Friendship
My boyfriend refused all help from our families.,Partner
I want to become a student because I like to interact with children.,CareerAndEducation
Isaac Asimov's ideas as a writer greatly influenced me as a child.,FilmAndTV
Technology has made the world a small place.,Technology
The rich think that they own us.,Money
My partners want to overcome their desire for smoking cigarette.,Partner
My colleague is blaming me for the loss of contract. Boss tends to agree with him.,Colleagues
Many farmers committed suicide because of lack of money.,Money
Artificially intelligent machines have the power to review a document and flag them.,Technology
Computer programming is an art.,Technology
"If something at a yard sale is far more valuable than the posted price, do I have to let the seller know?",Money
What should I do for my spiritual wellbeing?,Health
I plan to open my own company in few days.,CareerAndEducation
Gwyneth Paltrow was really great in 'Shakespeare in Love.',FilmAndTV
I love books and we have a little library of our own.,CareerAndEducation
Mr Bean episodes are my favourite.,FilmAndTV
I don't like Apple products!,Food
Our company wants to make our office technologically advanced.,CareerAndEducation
I got a big raise after a meeting with the HR department of my office.,CareerAndEducation
The income difference between males and females should be addressed by all corporations.,Money
"As a teenager, I was the lead drama actor at my school.",FilmAndTV
I’ve heard enough about war to not want to see it become reality.,Politics
It feels good to read my son's text books.,Family
I feel I need to be more technical. I realized how important it is to know different computer applications.,Technology
I pranked my co-worker by sticking his phone to our office's ceiling.,Technology
I fool my friend a lot.,Friendship
My pals call me old-fashioned whenever I get dressed for a party.,Friendship
My grandmother kept the fruit bowl on the table!,Food
My fever seems like it might be more than just fever.,Health
I don't think I have the will to work with my boss anymore.,Colleagues
There is still considerable scope for improving the way in which IoT technologies are designed.,Technology
Some children have a habit of shoplifting.,Family
She dug her own grave when she made fun of the boss.,Colleagues
He has no friends beside me.,Friendship
Politics is fantastic if followed and executed with rationale.,Politics
I don't think my colleagues idea regarding a project we're handling is going to work.,Colleagues
Omega 3 is great for the body.,Food
My boss is a social disappointment.,Colleagues
"Far from getting into a flap over the controversy, the government has used the media attention to its advantage.",Politics
School is terrible.,CareerAndEducation
I had a verbal fight with my girlfriend.,Partner
I can juggle a football.,Sport
I love my friends.,Friendship
I like watching game of thrones!,FilmAndTV
I feel like I've had this disease before.,Health
Would you like to go out on weekends with friends or family?,Friendship
I have a bad cold.,Health
My cousin's wedding got cancelled.,Family
I feel angry with my boss.,Colleagues
My friend wants me to join a reading club with him.,Sport
I told them about my ambitions and they got upset.,CareerAndEducation
It's up to you to judge these works of art.,Politics
He is an actor.,FilmAndTV
"In spite of giving money, the government should create jobs for the homeless.",Politics
I have changed the office of my drama club.,Sport
Blogging is a great hobby/passion for men and women – and you can even co-write a blog with a friend.,Technology
Politics are not always bad for a cause.,Politics
I want to study law when I grow up,Politics
I like watching intellectual movies.,FilmAndTV
Stock market is beyond our expectations.,Money
I think my best friend is into my boyfriend. It is weird and uncomfortable for me because I care about both of them. Help?,Friendship
I can say she is alright as I had been a rather quiet child myself!,Family
A lot of changes are made in the working hours.,Money
Do you listen to romantic songs?,Music
I want to withdraw loads of money.,Money
My friends are total crazy.,Friendship
Increasing my understanding to deal with depression.,Health
Is my boyfriend cheating on me?,Partner
"Hey, do you like ice cream?",Food
I wanted the gym instructor to work on a contractual basis!,Sport
I don't like the club my friends take me to!,Sport
I want to improve my relationship with my parents.,Family
A free press is at liberty to criticize any idea of a government.,Politics
I met a TV actor yesterday and he was damn attractive!,FilmAndTV
"Sometimes, I come home early to pick my daughter from school.",CareerAndEducation
I have finally received the job of my dreams!,CareerAndEducation
My boss always encouraged us to have an ethical mind set.,Colleagues
There are so many places my parents own.,Family
I listened to some electronic music today.,Music
A change is coming about in our workplace.,CareerAndEducation
One Direction is my favourite band.,Music
"Missing my long distance relationship partner, we meet rarely.",Partner
Yesterday I met an encounter with a leopard.,Politics
My classmates bully me for being afraid of spiders.,Colleagues
My friends suggested me to join a social service group.,Friendship
If working double shift can help I will do it,Money
I have always wanted to be a famous singer.,Music
Poverty is a challenge for the person.,Money
I convinced my partners.,Partner
Bob picked up the pebbles one at a time without bending his knees.,Family
Technology has grown tremendously.,Technology
My sister is really demotivated and my parents are not able to understand this.,Family
The artists behaved rudely with me.,Music
I'll be back after smoking a cigarette.,Health
I cannot understand why my partner is not able to get well. I have tried everything.,Partner
I will miss everybody from school.,CareerAndEducation
Pimple on my face is hurting since yesterday.,Health
I think I like my boss.,Colleagues
Poverty can be reduced by increasing industrialisation.,Money
My colleagues love me.,Colleagues
Mai Potter wrote a book and it is my new favourite.,Partner
My boss always encourages ethical behaviour.,Colleagues
My boss appreciated me today.,Colleagues
I did online shopping today.,Technology
The doctors told him that he doesn't have much time left.,Health
The permanent member nations of the UN make most of the decisions!,Politics
Many people work at home using modern technology today.,Technology
Most of the celebrities live a very lavish lifestyle.,FilmAndTV
"I asked around and understood that the girl had, recently, lost her father.",Family
A sudden change of career plans led me to becoming an artist.,Music
Mental health issues are increasing a lot day by day,Health
We had adequate food and drink for a week's journey.,Food
Can you please submit this assignment for me?,CareerAndEducation
When I’m in Thailand I’m going to try a lot of local cuisine.,Food
Dry fruits are the best when it comes to good fats.,Food
I believe voting should be done by every eligible citizen.,Politics
My father's surprise birthday party went really well.,Family
I won't listen to their music anymore. They're too loud and their language is nasty.,Music
Who do you think should be the next Prime Minister?,Politics
Ask your friend to buy a new sofa.,Friendship
"I have a lot of work to do, I can't make it to the party tonight.",Friendship
My health is rapidly deteriorating.,Health
I can run few videos of Mr Bean as there is lot to learn from it.,FilmAndTV
My partner sold my thesis.,Partner
I love my partner a lot.,Partner
Restricted hand movement,Technology
I believe that politicians do not make decisions that are in the interest of the people.,Politics
I work out with a trainer on a regular basis.,Health
We really gelled well with the athlete and that might have contributed to his good performance!,Sport
I love to listen rock music.,Music
We should not have war with anyone.,Politics
Understanding new technologies takes up most of my time.,Technology
Will my family judge me if I convert to another religion?,Politics
I had a huge fight with my mum.,Family
It is not easy to get rich.,Money
I promised my friend I would talk about what is on my mind.,Friendship
Phones are so addictive.,Technology
They helped me develop interest in music.,Music
I once was partial to a certain project but that was because it was important for the firm!,CareerAndEducation
I should start spending less.,Money
The invention of the computer was a milestone in the history of man.,Technology
It is typical for men to have high profile jobs.,CareerAndEducation
Do you like to dance?,Music
I absolutely love Apple products!,Food
I was happy as a kid.,Family
My friends got pretty bored in the Broadway musical.,FilmAndTV
I think we are losing more and more culture day by day.,Politics
My partner's income has dwindled in the recent past.,Partner
Conor Maynard posts cover songs.,Music
I have to stay on course with the medication.,Health
I got really busy in college.,CareerAndEducation
People say that political views changes frequently.,Politics
I like a boy at the school.,CareerAndEducation
My friends are sometimes a little too judgemental towards movies,FilmAndTV
I got a job yesterday!,CareerAndEducation
My friend has been behaving very rudely since he received an investment.,Friendship
My little girl loves talking to her Hello Barbie toy not realizing that it runs on AI!,Technology
This is not the only method to cook fish.,Food
Mark Zuckerberg is the founder of Facebook!,Technology
"My sister is going to marry someone, who is 10 years older than her.",Partner
My family is kind of an interfering presence in my life.,Family
I allowed myself to be persuaded into entering the competition.,Sport
I have been in a lot of relationships.,Money
My Instagram account now has a official logo like celebs!,Technology
I should start dieting again.,Health
Every employee should have a fair chance of getting promoted!,CareerAndEducation
I got popcorn and coffee for myself at the movies.,FilmAndTV
I have been in my field for a few years now. I have set up an overall short term and long term goal for my career.,CareerAndEducation
I don't have a very good relationship with my mother-in-law.,Family
Why was Shakespeare the greatest writer?,FilmAndTV
